"Nombre Artículo","Existencia Previa","Compras","Existencia","Existencia (Costo)","Usado","Vendido","Diferencia","% Diferencia","Ingresos","Usado (Costo)","Diferencia (Costo)","Desperdicio (Costo)","Porcentaje de Costo","Porcentaje de Costo Ideal"
"Johnnie Walker Red","3631 ml","","3184 ml","$12,586.41","447 ml","480 ml","+33 ml","+7.4%","$84,000.00","$1,766.29","+$131.24","","2.1%","2.3%"
"Total Scotch Whiskey:","3631 ml","","3184 ml","$12,586.41","447 ml","480 ml","+33 ml","+7.4%","$84,000.00","$1,766.29","+$131.24","","2.1%","2.3%"
"Jim Beam","3900 ml","","3843 ml","$12,521.01","57 ml","60 ml","+3 ml","+4.7%","$12,000.00","$186.68","+$8.81","","1.6%","1.6%"
"Total Bourbon:","3900 ml","","3843 ml","$12,521.01","57 ml","60 ml","+3 ml","+4.7%","$12,000.00","$186.68","+$8.81","","1.6%","1.6%"
"Blu Spirito Gin","28522 ml","","25539 ml","$173,591.07","2983 ml","3405 ml","+422 ml","+14.2%","$338,840.99","$20,274.59","+$2,869.79","$1,223.49","6.0%","6.8%"
"Bombay Sapphire","18847 ml","","18526 ml","$237,701.36","320 ml","360 ml","+40 ml","+12.3%","$72,000.00","$4,111.23","+$507.70","","5.7%","6.4%"
"Total Gin:","47368 ml","","44065 ml","$411,292.44","3303 ml","3765 ml","+462 ml","+14.0%","$410,840.99","$24,385.83","+$3,377.49","$1,223.49","5.9%","6.8%"
"Sernova Vodka","11306 ml","16800 ml","26779 ml","$83,675.47","1328 ml","1500 ml","+172 ml","+13.0%","$196,414.49","$4,148.54","+$538.51","","2.1%","2.4%"
"Total Vodka:","11306 ml","16800 ml","26779 ml","$83,675.47","1328 ml","1500 ml","+172 ml","+13.0%","$196,414.49","$4,148.54","+$538.51","","2.1%","2.4%"
"Pitu Cachaca","17827 ml","","17167 ml","$10,656.64","660 ml","720 ml","+60 ml","+9.1%","$78,000.00","$409.70","+$37.25","","0.5%","0.6%"
"Total Cachaca:","17827 ml","","17167 ml","$10,656.64","660 ml","720 ml","+60 ml","+9.1%","$78,000.00","$409.70","+$37.25","","0.5%","0.6%"
"Bacardi Carta Blanca","18768 ml","","17995 ml","$139,688.62","773 ml","960 ml","+187 ml","+24.2%","$100,000.00","$6,000.35","+$1,451.91","$465.77","6.0%","7.5%"
"Bacardi Carta Dorada","5855 ml","","5442 ml","$19,001.50","413 ml","420 ml","+7 ml","+1.7%","$42,000.00","$1,441.95","+$24.63","","3.4%","3.5%"
"Total Rum:","24622 ml","","23436 ml","$158,690.12","1186 ml","1380 ml","+194 ml","+16.4%","$142,000.00","$7,442.30","+$1,476.54","$465.77","5.2%","6.3%"
"Jose Cuervo Silver Plata","10883 ml","","10883 ml","$86,448.15","","","","","","","","","",""
"Total Tequila:","10883 ml","","10883 ml","$86,448.15","","","","","","","","","",""
"Amargo Obrero","7515 ml","","7408 ml","$2,816.27","107 ml","120 ml","+13 ml","+11.7%","$6,000.00","$40.84","+$4.78","","0.7%","0.8%"
"Aperol","18881 ml","","16141 ml","$92,722.08","2740 ml","3150 ml","+410 ml","+15.0%","$91,983.75","$15,738.22","+$2,356.61","","17.1%","19.7%"
"Branca Menta","657 ml","","531 ml","$1,805.14","127 ml","180 ml","+53 ml","+42.2%","$18,000.00","$430.54","+$181.58","","2.4%","3.4%"
"Campari","4664 ml","","4471 ml","$14,904.33","193 ml","210 ml","+17 ml","+8.8%","$19,255.79","$643.53","+$56.49","","3.3%","3.6%"
"Carpano Bianco","6832 ml","","6671 ml","$6,415.76","161 ml","180 ml","+19 ml","+11.5%","$4,648.03","$155.26","+$17.87","","3.3%","3.7%"
